42;4;2;3;3;2;1;2;4;2;2;2;3;2;2;3;2;2
14;4;2;2;3;2;3;2;4;3;3;3;4;2;1;3;2;3
67;3;2;2;3;2;2;2;3;3;3;3;4;3;3;3;2;3
15;3;3;3;2;3;1;2;2;4;3;3;4;3;1;3;2;2
47;2;4;3;3;3;1;2;2;3;1;4;4;3;1;3;3;1
39;2;3;3;4;2;1;2;3;3;1;3;4;3;2;3;3;2
38;3;2;2;3;2;1;2;3;3;1;2;4;3;2;4;2;2
58;3;2;2;1;3;3;2;3;2;3;2;3;2;4;2;2;3
81;3;3;4;3;1;1;2;2;3;1;2;4;3;2;3;3;3
37;4;2;3;2;2;1;2;3;3;1;1;4;2;3;2;2;2
54;3;3;2;3;2;2;3;3;3;1;2;3;3;2;2;3;2
03;3;3;3;3;2;2;2;4;4;2;3;3;2;1;3;2;2
55;3;3;2;3;1;3;2;3;4;2;3;3;2;1;2;3;2
60;3;2;2;2;1;2;2;3;4;1;3;4;3;1;3;3;2
26;4;2;2;3;2;1;2;2;1;1;2;4;2;2;2;3;2
59;4;4;4;2;3;1;4;4;3;2;2;4;1;2;4;1;1
27;3;2;1;3;2;1;2;3;3;2;3;4;3;2;2;2;3
11;2;1;2;4;1;3;1;2;4;2;4;3;2;1;3;3;4
22;4;2;3;2;2;2;3;2;3;2;3;3;3;2;3;3;2
32;4;2;3;2;2;2;2;3;3;2;2;3;3;2;3;3;1
24;4;2;2;2;3;2;2;3;2;1;2;4;2;1;4;3;3
17;3;3;2;3;3;1;2;3;1;1;1;4;3;4;3;4;3
72;4;1;4;4;1;4;2;4;3;2;3;4;4;2;4;2;4
43;2;2;4;4;2;4;2;2;4;4;4;4;4;1;3;2;2
08;3;2;2;2;2;1;2;3;2;1;2;4;4;3;4;3;3
51;4;2;2;3;1;1;1;1;4;1;1;4;2;2;2;2;2
57;3;1;2;4;3;2;1;2;3;3;2;4;4;3;3;3;3
46;4;3;2;3;2;1;2;3;2;1;1;3;3;2;1;2;3
49;3;2;2;2;2;3;2;3;2;3;3;4;2;1;2;3;2
25;4;2;3;3;2;2;3;3;4;3;2;4;3;2;3;4;3
45;4;2;3;2;2;2;2;2;2;3;2;3;2;2;3;2;2
52;3;2;2;2;2;3;2;3;3;2;3;3;2;2;3;2;3
36;3;3;2;2;1;1;1;4;4;2;1;4;4;1;4;4;2
99;3;2;3;3;1;1;2;3;3;1;3;4;4;3;3;4;2
36;4;2;2;2;2;2;2;3;3;2;2;4;2;2;3;2;2
07;3;2;2;3;2;3;1;3;2;3;2;4;3;3;4;2;3
13;3;2;3;4;2;2;2;2;3;2;2;3;3;3;2;4;3
76;4;3;2;1;2;3;2;3;3;2;2;4;3;1;4;3;3
19;3;2;3;3;2;4;3;3;3;4;3;4;3;1;3;3;3
04;3;3;3;3;2;2;2;3;3;3;3;4;3;2;3;3;3
10;4;3;3;3;3;3;3;3;3;1;1;3;3;2;3;3;2
30;4;3;1;3;4;1;1;3;3;3;3;4;4;4;3;1;1
25;4;3;3;2;1;1;2;4;2;1;1;3;2;3;2;3;2
33;3;3;3;3;2;2;2;3;4;1;4;4;4;1;4;2;3
12;3;2;2;3;1;3;1;2;4;3;2;4;3;2;3;2;3
53;3;2;2;1;2;2;3;3;3;1;2;4;3;2;3;3;2
18;3;4;2;1;4;1;2;1;2;1;1;4;3;3;1;1;3
41;4;3;2;1;4;3;1;1;4;3;4;3;2;1;1;1;3
29;2;2;1;2;3;1;2;2;3;2;3;4;3;2;2;3;2
19;3;1;1;3;1;2;1;2;2;4;4;4;4;4;4;4;4
58;4;2;1;3;2;2;1;3;4;3;3;2;3;2;2;3;2
78;3;3;3;3;2;3;2;2;3;1;3;4;3;1;3;2;2
34;3;1;3;3;3;3;2;2;3;2;3;4;3;1;3;3;4
74;2;2;1;1;1;1;2;3;4;1;4;4;4;1;4;3;3
16;3;2;1;2;2;1;2;2;3;1;3;4;3;1;3;1;2
69;4;3;3;3;3;1;2;3;4;2;3;3;2;1;3;2;1
61;3;2;1;3;1;3;1;3;4;2;3;4;3;1;3;2;3
79;2;1;2;3;1;2;1;1;2;3;3;4;3;3;2;2;4
73;3;2;1;3;1;3;1;3;4;2;3;4;3;1;3;2;2
40;4;2;2;3;2;3;2;2;2;3;3;3;3;2;3;2;3
31;4;2;1;3;1;4;1;3;1;4;2;4;3;3;4;3;2
66;4;3;3;2;2;1;2;2;3;1;1;4;3;1;4;4;2
50;2;4;3;2;3;1;4;1;3;1;4;4;2;1;2;4;1
